<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;2012-01-03;0;80.1200000;82.5000000;80.1200000;82.4100000;78834880
SBER;D;2012-01-04;0;82.4400000;84.4800000;81.9100000;83.5200000;136539450
SBER;D;2012-01-05;0;83.5000000;84.4400000;82.0500000;82.5500000;110168460
SBER;D;2012-01-06;0;82.5100000;84.3800000;81.6700000;83.2000000;126005770
SBER;D;2012-01-09;0;82.5900000;84.2200000;82.4200000;83.8800000;89202980
SBER;D;2012-01-10;0;84.3600000;87.2500000;84.2400000;86.8100000;231522540
SBER;D;2012-01-11;0;86.2900000;86.9100000;84.3400000;84.8500000;247256850
SBER;D;2012-01-12;0;85.2000000;86.3800000;84.0400000;84.3000000;221897330
SBER;D;2012-01-13;0;84.6700000;85.1500000;83.5300000;83.6000000;182267630
SBER;D;2012-01-16;0;83.0000000;84.2100000;82.5500000;83.9500000;123816130
SBER;D;2012-01-17;0;84.8100000;85.6500000;84.1900000;84.6600000;196172150
SBER;D;2012-01-18;0;84.7000000;85.5600000;83.9500000;84.7000000;174180770
SBER;D;2012-01-19;0;85.4500000;86.0400000;84.7600000;85.7000000;227251990
SBER;D;2012-01-20;0;85.9700000;86.2800000;84.8200000;85.1300000;160807020
SBER;D;2012-01-23;0;84.9500000;85.6700000;83.8200000;85.0200000;231834010
SBER;D;2012-01-24;0;84.8500000;85.4900000;84.4700000;85.0400000;174275710
SBER;D;2012-01-25;0;85.5600000;87.8700000;85.5600000;87.0500000;332922100
SBER;D;2012-01-26;0;88.0100000;90.8000000;87.9700000;90.4000000;361594410
SBER;D;2012-01-27;0;89.6700000;91.2800000;89.6300000;90.8000000;199805090
SBER;D;2012-01-30;0;90.1400000;90.6900000;88.8600000;88.9200000;176726240
SBER;D;2012-01-31;0;89.7500000;90.9200000;89.6100000;90.1700000;178575700
SBER;D;2012-02-01;0;89.7400000;92.9300000;89.1700000;92.7500000;255001730
SBER;D;2012-02-02;0;93.1100000;93.8500000;91.9200000;92.6200000;238041260
SBER;D;2012-02-03;0;92.5100000;94.7900000;92.3200000;94.5200000;163533170
SBER;D;2012-02-06;0;94.7800000;94.8800000;93.4600000;93.8000000;156500070
SBER;D;2012-02-07;0;94.0000000;94.4500000;92.8500000;93.4600000;173039250
SBER;D;2012-02-08;0;94.2400000;95.3900000;94.2200000;95.1700000;183631880
SBER;D;2012-02-09;0;95.0800000;96.3700000;94.6400000;95.2800000;244795520
SBER;D;2012-02-10;0;94.5700000;94.9300000;93.6300000;93.9400000;154034440
SBER;D;2012-02-13;0;94.6300000;96.3700000;94.6300000;96.1900000;171180880
SBER;D;2012-02-14;0;95.7800000;97.2200000;95.3700000;96.3600000;174425930
SBER;D;2012-02-15;0;97.3300000;97.7700000;96.6600000;97.2000000;169537890
SBER;D;2012-02-16;0;96.0000000;96.4500000;95.5000000;96.2400000;169092850
SBER;D;2012-02-17;0;97.2700000;97.3900000;96.4600000;96.7600000;149148730
SBER;D;2012-02-20;0;97.6100000;98.1600000;97.4400000;97.5000000;96081170
SBER;D;2012-02-21;0;97.7500000;97.7500000;96.3100000;96.6800000;139301920
SBER;D;2012-02-22;0;96.8500000;97.4800000;95.2400000;96.0900000;152147920
SBER;D;2012-02-24;0;96.8000000;99.2200000;96.2100000;99.0200000;208950120
SBER;D;2012-02-27;0;98.5800000;99.9600000;98.4100000;99.7200000;185285170
SBER;D;2012-02-28;0;100.1700000;100.4000000;98.3200000;98.6400000;155728080
SBER;D;2012-02-29;0;99.1200000;100.3000000;98.9100000;100.1900000;165098410
SBER;D;2012-03-01;0;99.4800000;100.3700000;98.9400000;100.2500000;140632000
SBER;D;2012-03-02;0;100.7700000;101.7500000;99.9500000;101.6000000;171810620
SBER;D;2012-03-05;0;101.7600000;103.3000000;101.3200000;102.3000000;150504700
SBER;D;2012-03-06;0;101.7500000;101.7600000;97.1200000;97.3700000;258853940
SBER;D;2012-03-07;0;97.0700000;97.9900000;96.6800000;97.6800000;195114270
SBER;D;2012-03-11;0;99.6200000;99.9800000;99.3300000;99.5700000;54485370
SBER;D;2012-03-12;0;99.1600000;100.3500000;98.3800000;99.0900000;182736710
SBER;D;2012-03-13;0;99.7200000;100.8900000;99.3700000;100.5300000;141154860
SBER;D;2012-03-14;0;101.8100000;103.8500000;101.8000000;103.3200000;244109590
SBER;D;2012-03-15;0;102.8900000;103.0000000;100.3000000;100.6500000;273612090
SBER;D;2012-03-16;0;100.9700000;101.1700000;99.5100000;100.1800000;155555770
SBER;D;2012-03-19;0;100.9200000;101.6300000;98.6300000;99.6700000;164894370
SBER;D;2012-03-20;0;99.8000000;100.0900000;98.0200000;98.4900000;136641160
SBER;D;2012-03-21;0;98.8900000;99.4500000;97.4200000;98.2000000;169130850
SBER;D;2012-03-22;0;97.9500000;98.8400000;95.8400000;96.0000000;174545780
SBER;D;2012-03-23;0;96.3300000;97.6200000;95.7200000;97.6000000;168756190
SBER;D;2012-03-26;0;98.0900000;100.3000000;98.0400000;99.9800000;144688830
SBER;D;2012-03-27;0;100.4600000;100.9400000;97.6500000;97.7900000;164054390
SBER;D;2012-03-28;0;97.4800000;98.1500000;95.4000000;95.9100000;222625770
SBER;D;2012-03-29;0;95.7300000;96.4200000;93.4000000;93.5500000;200192650
SBER;D;2012-03-30;0;94.9000000;96.0000000;94.0200000;94.8600000;212381980
SBER;D;2012-04-02;0;95.4000000;96.2000000;94.4600000;95.1300000;145584870
SBER;D;2012-04-03;0;96.0600000;98.2300000;95.6700000;98.0000000;220521340
SBER;D;2012-04-04;0;97.0500000;97.9500000;96.0100000;96.1700000;178432900
SBER;D;2012-04-05;0;96.5700000;97.5600000;94.6500000;97.4200000;205869000
SBER;D;2012-04-06;0;97.4000000;97.7500000;95.4200000;95.6400000;115996520
SBER;D;2012-04-09;0;95.3300000;95.9900000;93.5100000;95.9200000;168138540
SBER;D;2012-04-10;0;95.7300000;96.8700000;95.3000000;95.5500000;181577150
SBER;D;2012-04-11;0;94.8900000;97.1600000;94.6200000;96.0000000;161643180
SBER;D;2012-04-12;0;96.3500000;96.7400000;94.6000000;95.4100000;141249240
SBER;D;2012-04-13;0;94.1500000;95.1300000;93.6000000;94.1800000;134938150
SBER;D;2012-04-16;0;93.5900000;93.7400000;91.4300000;92.3100000;189225390
SBER;D;2012-04-17;0;92.4000000;93.3900000;91.1400000;93.2300000;160171230
SBER;D;2012-04-18;0;93.9900000;94.6800000;92.6100000;92.9000000;139326480
SBER;D;2012-04-19;0;93.0800000;94.8400000;92.8800000;94.3500000;147417700
SBER;D;2012-04-20;0;93.9200000;95.2900000;93.6400000;95.0000000;122154570
SBER;D;2012-04-23;0;94.5500000;94.7100000;91.9800000;92.5400000;117783470
SBER;D;2012-04-24;0;92.5900000;93.6100000;91.4400000;92.6500000;119053160
SBER;D;2012-04-25;0;93.1500000;94.1300000;93.1500000;93.7500000;101784720
SBER;D;2012-04-26;0;94.0400000;94.2800000;91.6100000;92.6200000;98993610
SBER;D;2012-04-27;0;92.3500000;94.1200000;91.8500000;93.7900000;116514180
SBER;D;2012-04-28;0;93.7500000;94.1600000;93.5200000;93.9500000;14091530
SBER;D;2012-05-02;0;94.4200000;95.6900000;93.0600000;93.0600000;106089120
SBER;D;2012-05-03;0;93.3000000;93.6400000;92.1200000;92.5500000;106442620
SBER;D;2012-05-04;0;92.1400000;92.6400000;90.3200000;90.8300000;154887200
SBER;D;2012-05-05;0;90.5300000;90.9800000;90.0900000;90.4200000;23047600
SBER;D;2012-05-07;0;89.0200000;89.8700000;86.0000000;88.5000000;85794830
SBER;D;2012-05-08;0;89.0300000;90.4000000;87.6300000;89.5300000;104430820
SBER;D;2012-05-10;0;89.7200000;91.8400000;89.2700000;91.7900000;111511920
SBER;D;2012-05-11;0;90.9400000;91.2200000;89.4600000;91.0400000;104343620
SBER;D;2012-05-12;0;90.5000000;91.0900000;90.2100000;90.9900000;18694150
SBER;D;2012-05-14;0;90.4800000;90.5500000;87.4200000;87.5500000;105204220
SBER;D;2012-05-15;0;87.5200000;88.9000000;86.2200000;88.1900000;170167350
SBER;D;2012-05-16;0;86.9500000;87.9100000;86.5000000;86.9100000;181486010
SBER;D;2012-05-17;0;87.0000000;87.3000000;79.7900000;80.7100000;305819360
SBER;D;2012-05-18;0;78.9000000;81.0800000;75.3000000;78.1900000;391397830
SBER;D;2012-05-21;0;78.9500000;82.0500000;78.2500000;81.9500000;205634840
SBER;D;2012-05-22;0;82.7100000;83.3600000;80.7000000;82.8200000;185090920
SBER;D;2012-05-23;0;81.3400000;81.5000000;78.5700000;78.6500000;188025030
SBER;D;2012-05-24;0;79.5300000;81.7700000;77.8000000;81.4400000;224415570
SBER;D;2012-05-25;0;81.1700000;82.9000000;79.8500000;79.8700000;175359560
SBER;D;2012-05-28;0;80.8500000;81.8600000;79.9500000;80.3700000;104416590
SBER;D;2012-05-29;0;80.9600000;84.1700000;80.3100000;84.1400000;217330630
SBER;D;2012-05-30;0;83.4200000;83.7900000;81.8400000;82.3800000;206879940
SBER;D;2012-05-31;0;82.3700000;83.5200000;80.5200000;81.6900000;261076940
SBER;D;2012-06-01;0;81.6000000;82.1500000;77.9500000;78.8600000;195124380
SBER;D;2012-06-04;0;77.4700000;78.8700000;76.2500000;78.1000000;163217860
SBER;D;2012-06-05;0;78.8800000;79.7900000;77.4000000;78.1100000;133981500
SBER;D;2012-06-06;0;78.9600000;80.8400000;77.7700000;80.6200000;178791150
SBER;D;2012-06-07;0;81.1000000;83.7500000;79.9100000;83.4400000;210487480
SBER;D;2012-06-08;0;82.2000000;82.2300000;80.4100000;81.3800000;179769450
SBER;D;2012-06-09;0;81.9800000;82.2800000;81.3700000;81.5800000;27412520
SBER;D;2012-06-13;0;82.0200000;83.5000000;81.5000000;83.0400000;148008160
SBER;D;2012-06-14;0;82.7300000;83.3600000;82.4800000;83.0500000;95127010
SBER;D;2012-06-15;0;83.6300000;84.7700000;83.0600000;84.3400000;138912710
SBER;D;2012-06-18;0;85.2400000;86.5900000;85.2400000;86.2000000;148362920
SBER;D;2012-06-19;0;85.9200000;87.1200000;85.5300000;86.9600000;117031130
SBER;D;2012-06-20;0;86.9500000;87.2600000;85.5100000;85.7300000;91870500
SBER;D;2012-06-21;0;84.9800000;86.3900000;84.3600000;85.3600000;123012040
SBER;D;2012-06-22;0;84.2300000;84.3500000;83.3800000;83.7600000;109872410
SBER;D;2012-06-25;0;83.7000000;83.8900000;81.9200000;82.3000000;103106800
SBER;D;2012-06-26;0;82.4000000;84.3400000;82.4000000;83.6000000;103560930
SBER;D;2012-06-27;0;83.9500000;84.8400000;83.2500000;84.5000000;95060220
SBER;D;2012-06-28;0;84.9500000;84.9800000;82.6500000;82.8000000;106310310
SBER;D;2012-06-29;0;84.0300000;86.4600000;84.0200000;86.3900000;133958290
SBER;D;2012-07-02;0;86.1900000;88.1400000;85.7600000;87.6500000;124081590
SBER;D;2012-07-03;0;87.9600000;91.0700000;87.9600000;90.9400000;146840310
SBER;D;2012-07-04;0;90.7700000;91.2500000;89.6500000;91.1000000;74535320
SBER;D;2012-07-05;0;90.5900000;92.4300000;89.9500000;90.9200000;171272070
SBER;D;2012-07-06;0;90.4400000;91.3700000;88.7500000;89.2000000;127263170
SBER;D;2012-07-09;0;88.9000000;90.3700000;88.7000000;90.0200000;99199150
SBER;D;2012-07-10;0;89.5500000;91.7500000;89.3600000;91.0000000;114460100
SBER;D;2012-07-11;0;90.5300000;90.8600000;89.2700000;90.0100000;113339020
SBER;D;2012-07-12;0;89.7900000;90.0900000;88.3700000;88.9200000;106392090
SBER;D;2012-07-13;0;89.9500000;91.0800000;89.4200000;90.9800000;95409590
SBER;D;2012-07-16;0;91.0000000;91.2800000;90.3500000;90.8500000;71736390
SBER;D;2012-07-17;0;91.4400000;92.3400000;91.0000000;91.2200000;113790430
SBER;D;2012-07-18;0;91.4900000;92.1500000;91.1100000;91.6000000;68919140
SBER;D;2012-07-19;0;92.1500000;92.9000000;91.8600000;92.1500000;101966330
SBER;D;2012-07-20;0;91.6400000;91.7800000;90.1200000;90.1200000;81102960
SBER;D;2012-07-23;0;89.2600000;89.3000000;85.5100000;86.0000000;150927530
SBER;D;2012-07-24;0;86.8600000;86.9900000;84.4300000;84.4500000;139524560
SBER;D;2012-07-25;0;83.9900000;87.1800000;83.0100000;86.9000000;204528680
SBER;D;2012-07-26;0;87.0000000;88.9500000;86.0700000;88.4500000;155570780
SBER;D;2012-07-27;0;89.1000000;90.4400000;88.2400000;90.3100000;114666510
SBER;D;2012-07-30;0;90.5300000;91.7500000;90.5000000;91.2400000;89555900
SBER;D;2012-07-31;0;91.5000000;91.7300000;89.4100000;89.7300000;104549650
SBER;D;2012-08-01;0;89.5000000;90.8900000;89.3000000;89.3900000;92647980
SBER;D;2012-08-02;0;89.3900000;91.0700000;87.4000000;88.7900000;154045460
SBER;D;2012-08-03;0;88.7800000;91.8700000;88.4500000;91.6600000;126267610
SBER;D;2012-08-06;0;91.9200000;94.0700000;91.4000000;93.3000000;184964920
SBER;D;2012-08-07;0;92.9700000;94.4400000;92.5600000;93.9700000;115070840
SBER;D;2012-08-08;0;93.5100000;94.3000000;92.8200000;93.9400000;94761120
SBER;D;2012-08-09;0;94.3900000;95.3500000;93.0100000;93.8700000;110759430
SBER;D;2012-08-10;0;93.3300000;93.3500000;91.9500000;92.8500000;88265810
SBER;D;2012-08-13;0;93.1200000;94.4400000;92.8600000;93.1800000;95673310
SBER;D;2012-08-14;0;93.4600000;94.1500000;93.1100000;93.5800000;74680790
SBER;D;2012-08-15;0;93.1500000;93.2000000;91.7200000;92.9800000;115582090
SBER;D;2012-08-16;0;93.5100000;93.8000000;92.3300000;92.8200000;80558280
SBER;D;2012-08-17;0;93.3300000;93.3900000;92.0100000;92.0500000;80749550
SBER;D;2012-08-20;0;92.2600000;92.4500000;91.1200000;91.5200000;93055740
SBER;D;2012-08-21;0;91.9400000;93.6000000;91.9300000;93.5700000;95647470
SBER;D;2012-08-22;0;92.8000000;93.4500000;92.2300000;92.5500000;82297210
SBER;D;2012-08-23;0;93.3600000;95.0500000;92.9000000;93.0400000;150028320
SBER;D;2012-08-24;0;92.4900000;93.4700000;92.1700000;92.9100000;100455930
SBER;D;2012-08-27;0;93.4400000;93.7500000;92.5100000;92.8100000;75780990
SBER;D;2012-08-28;0;92.6700000;94.8000000;92.4800000;94.4800000;130589890
SBER;D;2012-08-29;0;94.4900000;95.4800000;94.1300000;94.5400000;126361310
SBER;D;2012-08-30;0;94.3500000;94.7900000;93.4200000;93.4900000;78089680
SBER;D;2012-08-31;0;93.6200000;94.1800000;93.0000000;93.1600000;85969400
SBER;D;2012-09-03;0;93.2100000;94.5000000;93.1700000;94.0800000;59484330
SBER;D;2012-09-04;0;94.1600000;94.7300000;93.0300000;93.0900000;77443520
SBER;D;2012-09-05;0;92.8600000;93.1300000;92.2200000;92.8500000;92952810
SBER;D;2012-09-06;0;93.1600000;94.1700000;92.4500000;93.9500000;143754920
SBER;D;2012-09-07;0;94.3200000;95.7600000;93.6200000;93.8600000;158445820
SBER;D;2012-09-10;0;93.5900000;94.6100000;93.2800000;94.4400000;78995670
SBER;D;2012-09-11;0;93.7200000;94.2400000;93.3700000;94.0300000;77004720
SBER;D;2012-09-12;0;94.2900000;94.4900000;93.4000000;93.5800000;94837320
SBER;D;2012-09-13;0;93.4100000;93.7100000;92.4000000;92.7500000;80475750
